"filename", "language", "C++", "YAML", "Dart", "Swift", "Gradle", "XML", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\build.gradle", "Gradle", 0, 0, 0, 0, -1, 0, 3, 1, 3
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\data\provider_for_cards.dart", "Dart", 0, 0, 285, 0, 0, 0, 115, 14, 414
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\domain\entities\item_entity.dart", "Dart", 0, 0, 48, 0, 0, 0, 3, 11, 62
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\domain\entities\item_entity.g.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\main.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\container_model.dart", "Dart", 0, 0, -15, 0, 0, 0, 0, -4, -19
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\create_item.dart", "Dart", 0, 0, 174, 0, 0, 0, 44, 18, 236
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\feedack.dart", "Dart", 0, 0, -45, 0, 0, 0, -11, -6, -62
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\items.dart", "Dart", 0, 0, -47, 0, 0, 0, -9, -8, -64
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\list_for_kids.dart", "Dart", 0, 0, 416, 0, 0, 0, 137, 6, 559
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\draw_list.dart", "Dart", 0, 0, 416, 0, 0, 0, 162, 15, 593
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\drink_list.dart", "Dart", 0, 0, 428, 0, 0, 0, 162, 15, 605
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\eat_list.dart", "Dart", 0, 0, 193, 0, 0, 0, 113, 5, 311
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\go_list.dart", "Dart", 0, 0, 420, 0, 0, 0, 162, 15, 597
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\hygiene_list.dart", "Dart", 0, 0, 428, 0, 0, 0, 162, 15, 605
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\play_list.dart", "Dart", 0, 0, 430, 0, 0, 0, 165, 18, 613
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\rest_list.dart", "Dart", 0, 0, 405, 0, 0, 0, 161, 15, 581
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\main_menu\main_menu.dart", "Dart", 0, 0, 88, 0, 0, 0, 6, 4, 98
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\my_cards\my_cards.dart", "Dart", 0, 0, 318, 0, 0, 0, 204, 19, 541
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\splash_screen\splash_screen.dart", "Dart", 0, 0, 72, 0, 0, 0, -71, 0, 1
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\gasan\.vscode\flutter projects\kids_app\pubspec.yaml", "YAML", 0, 7, 0, 0, 0, 0, 9, -2, 14
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 3, 7, 4032, 6, -1, 4, 1517, 152, 5720
