"filename", "language", "YAML", "Dart", "Swift", "XML", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\data\provider_for_cards.dart", "Dart", 0, 98, 0, 0, -283, -23, -208
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\create_item.dart", "Dart", 0, -25, 0, 0, 7, -5, -23
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\list_for_kids.dart", "Dart", 0, 41, 0, 0, 151, 10, 202
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\draw_list.dart", "Dart", 0, 15, 0, 0, 47, 1, 63
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\drink_list.dart", "Dart", 0, 15, 0, 0, 47, 1, 63
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\eat_list.dart", "Dart", 0, -32, 0, 0, 30, 0, -2
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\go_list.dart", "Dart", 0, 15, 0, 0, 47, 1, 63
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\hygiene_list.dart", "Dart", 0, 15, 0, 0, 47, 2, 64
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\play_list.dart", "Dart", 0, 15, 0, 0, 64, 2, 81
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\rest_list.dart", "Dart", 0, 14, 0, 0, 47, 1, 62
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\my_cards\my_cards.dart", "Dart", 0, 96, 0, 0, 90, 4, 190
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\splash_screen\splash_congratulate.dart", "Dart", 0, 54, 0, 0, 35, 14, 103
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, -8, 0, 0, 0, -8
"c:\Users\gasan\.vscode\flutter projects\kids_app\pubspec.yaml", "YAML", -1, 0, 0, 0, -8, 1, -8
"Total", "-", -1, 321, -8, 1, 321, 9, 643
