"filename", "language", "C++", "YAML", "JSON", "Markdown", "Dart", "HTML", "Swift", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\kids_app\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\gasan\.vscode\flutter projects\kids_app\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 9, 14, 77
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 6, 1, 42
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\data\provider_for_cards.dart", "Dart", 0, 0, 0, 0, 514, 0, 0, 0, 0, 0, 131, 30, 675
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\domain\entities\item_entity.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 3, 15, 83
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\domain\entities\item_entity.g.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 8, 60
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\main.dart", "Dart", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 2, 5, 69
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\create_item.dart", "Dart", 0, 0, 0, 0, 781, 0, 0, 0, 0, 0, 59, 23, 863
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\list_for_kids.dart", "Dart", 0, 0, 0, 0, 1082, 0, 0, 0, 0, 0, 559, 55, 1696
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\draw_list.dart", "Dart", 0, 0, 0, 0, 431, 0, 0, 0, 0, 0, 209, 16, 656
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\drink_list.dart", "Dart", 0, 0, 0, 0, 443, 0, 0, 0, 0, 0, 209, 16, 668
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\eat_list.dart", "Dart", 0, 0, 0, 0, 457, 0, 0, 0, 0, 0, 272, 20, 749
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\go_list.dart", "Dart", 0, 0, 0, 0, 435, 0, 0, 0, 0, 0, 209, 16, 660
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\hygiene_list.dart", "Dart", 0, 0, 0, 0, 443, 0, 0, 0, 0, 0, 209, 17, 669
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\play_list.dart", "Dart", 0, 0, 0, 0, 445, 0, 0, 0, 0, 0, 229, 20, 694
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\rest_list.dart", "Dart", 0, 0, 0, 0, 419, 0, 0, 0, 0, 0, 208, 16, 643
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\main_menu\main_menu.dart", "Dart", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 6, 4, 98
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\my_cards\my_cards.dart", "Dart", 0, 0, 0, 0, 414, 0, 0, 0, 0, 0, 294, 23, 731
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\splash_screen\splash_congratulate.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 35, 14, 103
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\splash_screen\splash_screen.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 12, 85
"c:\Users\gasan\.vscode\flutter projects\kids_app\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\gasan\.vscode\flutter projects\kids_app\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\gasan\.vscode\flutter projects\kids_app\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\gasan\.vscode\flutter projects\kids_app\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\gasan\.vscode\flutter projects\kids_app\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 4, 15
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\gasan\.vscode\flutter projects\kids_app\pubspec.yaml", "YAML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 58, 15, 111
"c:\Users\gasan\.vscode\flutter projects\kids_app\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\gasan\.vscode\flutter projects\kids_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 16, 6, 59
"c:\Users\gasan\.vscode\flutter projects\kids_app\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 502, 41, 248, 13, 6267, 37, 40, 473, 89, 8, 2913, 574, 11205
